dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,post_mean,post_std,ci_low,ci_high,true_weight,in_ci
kt2_s97,2comp_equal,2,97,5,bayesm,2,2,0.015089499265704,0.0152547920770783,0.0008557204451216,0.0412423563549092,,
kt2_s97,2comp_equal,2,97,5,bayesm,2,3,0.013232645830877,0.0372855603744206,0.0001096260529552,0.1596153351910217,,
kt2_s97,2comp_equal,2,97,5,bayesm,2,4,0.0120068322028851,0.0326144055785412,0.000111267126667,0.1214528665914587,,
kt2_s98,2comp_equal,2,98,5,bayesm,2,0,0.4838596493739562,0.0446622064962436,0.3457330800917604,0.5469907105823231,0.5,True
kt2_s98,2comp_equal,2,98,5,bayesm,2,1,0.4743644933585054,0.0410738505117673,0.3853310181185431,0.5451570199935378,0.5,True
kt2_s98,2comp_equal,2,98,5,bayesm,2,2,0.0212817813107984,0.033332475361571,0.0001694368610651,0.1211028229654905,,
kt2_s98,2comp_equal,2,98,5,bayesm,2,3,0.0124416856597815,0.0265305444199446,0.0001193932622917,0.0608831714222504,,
kt2_s98,2comp_equal,2,98,5,bayesm,2,4,0.0080523902969585,0.0145418284977648,0.0001560606551272,0.0477657715265422,,
kt2_s99,2comp_equal,2,99,5,bayesm,2,0,0.52268904287885,0.03765999238625,0.4431159911954918,0.5853661721764233,0.5,True
kt2_s99,2comp_equal,2,99,5,bayesm,2,1,0.4415538704390802,0.0450562564466842,0.3060465351530742,0.5066693797835905,0.5,True
kt2_s99,2comp_equal,2,99,5,bayesm,2,2,0.0136895470655685,0.0266504372103769,0.0001512806225593,0.0955504748845082,,
kt2_s99,2comp_equal,2,99,5,bayesm,2,3,0.0120558745451193,0.021511183595861,0.0002061469299761,0.0527816172438059,,
kt2_s99,2comp_equal,2,99,5,bayesm,2,4,0.0100116650713819,0.0277585722645097,0.0001084166329636,0.1030921835420664,,
