dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,demo,param,post_mean,post_std,ci_low,ci_high,true_value,bias,in_ci
kt1_s06,1comp,1,6,5,bayesm,2,z2,Price,0.5780292456808995,0.0854696821518953,0.4085693334753812,0.7458587253331964,0.6403430249028366,-0.062313779221937,True
kt1_s07,1comp,1,7,5,bayesm,2,z1,Alt1,0.0654751148940707,0.1095395622843314,-0.1495944070615358,0.2779198036507783,0.0117237774012818,0.0537513374927888,True
kt1_s07,1comp,1,7,5,bayesm,2,z1,Alt2,-0.5864810640200246,0.098872771027624,-0.7818714402877329,-0.3936662156204347,-0.5699696576543234,-0.0165114063657012,True
kt1_s07,1comp,1,7,5,bayesm,2,z1,Alt3,-0.9321210419042149,0.1522418193606721,-1.2360495140137584,-0.6372308122348158,-0.934640119501256,0.0025190775970411,True
kt1_s07,1comp,1,7,5,bayesm,2,z1,Price,-0.8890643173088724,0.0816139846858776,-1.0484309879822038,-0.7306312968404276,-0.8904075255671636,0.0013432082582912,True
kt1_s07,1comp,1,7,5,bayesm,2,z2,Alt1,0.3566428848970052,0.1240880125294883,0.1139543156282824,0.6011912768098054,0.2315539420995894,0.1250889427974157,True
kt1_s07,1comp,1,7,5,bayesm,2,z2,Alt2,-0.757195727095002,0.1108138574362859,-0.979890824570776,-0.5435683668281355,-0.5883195449432443,-0.1688761821517577,True
kt1_s07,1comp,1,7,5,bayesm,2,z2,Alt3,0.6340229705680446,0.171057104671681,0.3113258745699753,0.9861968865514664,0.5633934814708064,0.0706294890972382,True
kt1_s07,1comp,1,7,5,bayesm,2,z2,Price,0.789586483606623,0.0894555223288155,0.6143996390067104,0.9669927383483304,0.7111333962093235,0.0784530873972995,True
kt1_s08,1comp,1,8,5,bayesm,2,z1,Alt1,-0.4797603213726836,0.2422969334755534,-0.9519966953043456,-0.0179231470383342,-0.6054278554208797,0.1256675340481961,True
kt1_s08,1comp,1,8,5,bayesm,2,z1,Alt2,0.1649638653275083,0.1730194191745539,-0.1682137761401831,0.5092136047662775,0.0628092395743125,0.1021546257531957,True
kt1_s08,1comp,1,8,5,bayesm,2,z1,Alt3,0.6808557173385156,0.1962205557250106,0.3077860585300446,1.0653265805234051,0.6749802260087592,0.0058754913297563,True
kt1_s08,1comp,1,8,5,bayesm,2,z1,Price,-0.3263295452412342,0.0952096876227894,-0.5120846013065236,-0.1422473171252401,-0.4563601077425832,0.1300305625013489,True
kt1_s08,1comp,1,8,5,bayesm,2,z2,Alt1,0.0499740586489644,0.2701749408249225,-0.4631575917333245,0.5881745927671516,0.0944567014186255,-0.044482642769661,True
kt1_s08,1comp,1,8,5,bayesm,2,z2,Alt2,0.2474913586874567,0.2065089149676212,-0.1597942451523853,0.6495764611180115,0.5865287007932471,-0.3390373421057904,True
kt1_s08,1comp,1,8,5,bayesm,2,z2,Alt3,0.1660055410649885,0.2277981098746578,-0.2696724965918986,0.6178082465110791,0.1713281524952742,-0.0053226114302856,True
kt1_s08,1comp,1,8,5,bayesm,2,z2,Price,0.7413729674775391,0.1016124008568689,0.5460181530404687,0.9455795560040569,0.7108510691420923,0.0305218983354468,True
kt1_s09,1comp,1,9,5,bayesm,2,z1,Alt1,0.2998085111979517,0.1270991408213091,0.0501885704191306,0.5497057908916241,0.3570838184817213,-0.0572753072837695,True
kt1_s09,1comp,1,9,5,bayesm,2,z1,Alt2,0.3462863393641472,0.1406807758548834,0.0733592376216875,0.6256659001552232,0.2426418429206217,0.1036444964435255,True
kt1_s09,1comp,1,9,5,bayesm,2,z1,Alt3,0.3934308809380519,0.1360130019632595,0.1295903827245608,0.6637713298385508,0.4241527360217978,-0.0307218550837459,True
kt1_s09,1comp,1,9,5,bayesm,2,z1,Price,0.727624538749642,0.0951931485516596,0.5400865985155823,0.9160648300316449,0.7688369375077742,-0.0412123987581322,True
kt1_s09,1comp,1,9,5,bayesm,2,z2,Alt1,-1.0797160962315284,0.1291191857542996,-1.3314987522125503,-0.8270514844979536,-1.305768540482482,0.2260524442509537,True
kt1_s09,1comp,1,9,5,bayesm,2,z2,Alt2,-0.0582738223894297,0.1342730912659617,-0.3168888969321162,0.2137669170716562,-0.2283763101880253,0.1701024877985955,True
kt1_s09,1comp,1,9,5,bayesm,2,z2,Alt3,0.1133180908757035,0.1276622935178622,-0.132868180524552,0.3715746326172347,-0.0494441601963754,0.1627622510720789,True
kt1_s09,1comp,1,9,5,bayesm,2,z2,Price,0.7781921250915348,0.0887042700119248,0.6030268046541372,0.9540205756886108,0.7545038366935527,0.023688288397982,True
kt1_s100,1comp,1,100,5,bayesm,2,z1,Alt1,0.0111977590638855,0.1301003061351507,-0.2426604558899143,0.2668096095568856,-0.0910104174121914,0.1022081764760769,True
kt1_s100,1comp,1,100,5,bayesm,2,z1,Alt2,-0.450894452332115,0.1498973425738582,-0.7396715283281305,-0.1543861135375626,-0.501690358865021,0.050795906532906,True
kt1_s100,1comp,1,100,5,bayesm,2,z1,Alt3,-0.5776568170314058,0.1008212556343122,-0.7757583176990911,-0.3795078337655485,-0.4684610555360902,-0.1091957614953156,True
kt1_s100,1comp,1,100,5,bayesm,2,z1,Price,-0.5349487028894303,0.1090270919312629,-0.7523415351552651,-0.3244985516365493,-0.4721353002186793,-0.0628134026707509,True
kt1_s100,1comp,1,100,5,bayesm,2,z2,Alt1,-0.3525626489697416,0.1250686890403773,-0.5965029710307199,-0.1063912947238021,-0.3637606254272519,0.0111979764575103,True
kt1_s100,1comp,1,100,5,bayesm,2,z2,Alt2,1.0992204771920842,0.1571756697632578,0.7818071902957308,1.4009707144712444,1.0327430686433647,0.0664774085487194,True
kt1_s100,1comp,1,100,5,bayesm,2,z2,Alt3,0.0375808857218408,0.1019249527736066,-0.1650696254228511,0.2367534538826434,0.0680306467531291,-0.0304497610312882,True
kt1_s100,1comp,1,100,5,bayesm,2,z2,Price,0.0064509420725795,0.1140129659674032,-0.2137474782707175,0.2385531494920884,0.1009069319150301,-0.0944559898424506,True
