dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,scope,quantity,live,rhat,ess
kt1_s10,1comp,1,10,5,bayesm,2,invariant,pvec_sorted_0,,1.002138181620437,1765.2397218748854
kt1_s10,1comp,1,10,5,bayesm,2,invariant,pvec_sorted_1,,1.0054952951392364,362.978991335662
kt1_s10,1comp,1,10,5,bayesm,2,invariant,pvec_sorted_2,,1.0070478311284066,184.04603626276085
kt1_s10,1comp,1,10,5,bayesm,2,invariant,pvec_sorted_3,,1.0172281106772216,66.51547012537121
kt1_s10,1comp,1,10,5,bayesm,2,invariant,pvec_sorted_4,,1.0180583075726592,65.1052173264193
kt1_s10,1comp,1,10,5,bayesm,2,invariant,tr(Cov[u]),,1.0026604702511404,2270.693886536885
kt1_s10,1comp,1,10,5,bayesm,2,component,slot2:pvec,True,1.5942205545731023,3.367200091893749
kt1_s10,1comp,1,10,5,bayesm,2,component,slot3:pvec,False,1.584198948921382,3.3515503226705854
kt1_s10,1comp,1,10,5,bayesm,2,component,slot1:pvec,False,1.0218100025737034,69.64696662529268
kt1_s10,1comp,1,10,5,bayesm,2,component,slot0:pvec,False,1.013194675618222,127.45856394901816
kt1_s10,1comp,1,10,5,bayesm,2,component,slot4:pvec,False,1.0101394145914864,307.92810618950176
kt1_s10,1comp,1,10,5,bayesm,2,component_after,slot0:pvec,True,1.0180583075726592,65.10520619099479
kt1_s10,1comp,1,10,5,bayesm,2,component_after,slot1:pvec,False,1.0032951714166165,718.1745446790997
kt1_s10,1comp,1,10,5,bayesm,2,component_after,slot2:pvec,False,1.0314200515051088,63.52415219428498
kt1_s10,1comp,1,10,5,bayesm,2,component_after,slot3:pvec,False,1.0118207174936773,128.95183163224263
kt1_s10,1comp,1,10,5,bayesm,2,component_after,slot4:pvec,False,1.0101394145914864,307.92810618950176
kt1_s11,1comp,1,11,5,bayesm,2,invariant,E[u]_0,,1.3306274817885837,4.927151265748346
kt1_s11,1comp,1,11,5,bayesm,2,invariant,E[u]_1,,1.6189146216193355,3.274402361351421
kt1_s11,1comp,1,11,5,bayesm,2,invariant,E[u]_2,,1.356601747847357,4.4869666539805895
kt1_s11,1comp,1,11,5,bayesm,2,invariant,E[u]_3,,1.1935974339177575,6.947281999882463
kt1_s11,1comp,1,11,5,bayesm,2,invariant,pvec_sorted_0,,1.038439371206812,44.00975512745283
kt1_s11,1comp,1,11,5,bayesm,2,invariant,pvec_sorted_1,,1.162782611728303,9.775112704767158
kt1_s11,1comp,1,11,5,bayesm,2,invariant,pvec_sorted_2,,1.230903731068547,6.611303814909825
kt1_s11,1comp,1,11,5,bayesm,2,invariant,pvec_sorted_3,,1.210324509679556,31.237691147366583
kt1_s11,1comp,1,11,5,bayesm,2,invariant,pvec_sorted_4,,1.216305794317079,37.31448312055656
kt1_s11,1comp,1,11,5,bayesm,2,invariant,tr(Cov[u]),,1.4488650400593277,3.870252277962025
kt1_s11,1comp,1,11,5,bayesm,2,component,slot2:pvec,True,1.8658363013072807,2.8664589488394605
kt1_s11,1comp,1,11,5,bayesm,2,component,slot0:pvec,False,2.152237517112286,2.6195532891551228
kt1_s11,1comp,1,11,5,bayesm,2,component,slot1:pvec,False,1.701212970930924,3.1837481325413446
