dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,mean_acceptance,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog
kt1_s36,1comp,1,36,5,hmc,2,beta_i,kernel_04,0,0.0,0.8912191390991211,,,,,
kt1_s37,1comp,1,37,5,hmc,2,pvec_latent,kernel_00,1064,0.0532,0.9195732474327089,,,,,
kt1_s37,1comp,1,37,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,186,0.0093,0.8982480764389038,,,,,
kt1_s37,1comp,1,37,5,hmc,2,mu_k,kernel_02,73,0.00365,0.8706525564193726,,,,,
kt1_s37,1comp,1,37,5,hmc,2,Delta,kernel_03,0,0.0,0.940294623374939,,,,,
kt1_s37,1comp,1,37,5,hmc,2,beta_i,kernel_04,0,0.0,0.8995113968849182,,,,,
kt1_s38,1comp,1,38,5,hmc,2,pvec_latent,kernel_00,4523,0.22615,0.6483551859855652,,,,,
kt1_s38,1comp,1,38,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,185,0.00925,0.8911146521568298,,,,,
kt1_s38,1comp,1,38,5,hmc,2,mu_k,kernel_02,33,0.00165,0.8976298570632935,,,,,
kt1_s38,1comp,1,38,5,hmc,2,Delta,kernel_03,0,0.0,0.915314257144928,,,,,
kt1_s38,1comp,1,38,5,hmc,2,beta_i,kernel_04,0,0.0,0.9294485449790956,,,,,
kt1_s39,1comp,1,39,5,hmc,2,pvec_latent,kernel_00,121,0.00605,0.968134105205536,,,,,
kt1_s39,1comp,1,39,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,297,0.01485,0.9021463990211488,,,,,
kt1_s39,1comp,1,39,5,hmc,2,mu_k,kernel_02,327,0.01635,0.81170654296875,,,,,
kt1_s39,1comp,1,39,5,hmc,2,Delta,kernel_03,0,0.0,0.9231382012367249,,,,,
kt1_s39,1comp,1,39,5,hmc,2,beta_i,kernel_04,0,0.0,0.9116222858428956,,,,,
kt1_s40,1comp,1,40,5,hmc,2,pvec_latent,kernel_00,48,0.0024,0.9569327235221864,,,,,
kt1_s40,1comp,1,40,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,4,0.0002,0.9085490107536316,,,,,
kt1_s40,1comp,1,40,5,hmc,2,mu_k,kernel_02,140,0.007,0.8123026490211487,,,,,
kt1_s40,1comp,1,40,5,hmc,2,Delta,kernel_03,0,0.0,0.9257330298423768,,,,,
kt1_s40,1comp,1,40,5,hmc,2,beta_i,kernel_04,0,0.0,0.9480795860290528,,,,,
kt1_s41,1comp,1,41,5,hmc,2,pvec_latent,kernel_00,21,0.00105,0.8775911331176758,,,,,
kt1_s41,1comp,1,41,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,21,0.00105,0.900973618030548,,,,,
kt1_s41,1comp,1,41,5,hmc,2,mu_k,kernel_02,34,0.0017,0.9081300497055054,,,,,
kt1_s41,1comp,1,41,5,hmc,2,Delta,kernel_03,0,0.0,0.9492597579956056,,,,,
kt1_s41,1comp,1,41,5,hmc,2,beta_i,kernel_04,0,0.0,0.8961507678031921,,,,,
kt1_s42,1comp,1,42,5,hmc,2,pvec_latent,kernel_00,724,0.0362,0.9281512498855592,,,,,
kt1_s42,1comp,1,42,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,1165,0.05825,0.8363087177276611,,,,,
kt1_s42,1comp,1,42,5,hmc,2,mu_k,kernel_02,37,0.00185,0.9150843620300292,,,,,
kt1_s42,1comp,1,42,5,hmc,2,Delta,kernel_03,0,0.0,0.9291611313819884,,,,,
kt1_s42,1comp,1,42,5,hmc,2,beta_i,kernel_04,0,0.0,0.9058966636657716,,,,,
kt1_s43,1comp,1,43,5,hmc,2,pvec_latent,kernel_00,423,0.02115,0.9508179426193236,,,,,
kt1_s43,1comp,1,43,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,303,0.01515,0.8938732147216797,,,,,
kt1_s43,1comp,1,43,5,hmc,2,mu_k,kernel_02,384,0.0192,0.8440790772438049,,,,,
kt1_s43,1comp,1,43,5,hmc,2,Delta,kernel_03,0,0.0,0.9088635444641112,,,,,
kt1_s43,1comp,1,43,5,hmc,2,beta_i,kernel_04,0,0.0,0.924814522266388,,,,,
kt1_s44,1comp,1,44,5,hmc,2,pvec_latent,kernel_00,46,0.0023,0.9762728810310364,,,,,
kt1_s44,1comp,1,44,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,80,0.004,0.9090486168861388,,,,,
kt1_s44,1comp,1,44,5,hmc,2,mu_k,kernel_02,10,0.0005,0.9017704129219056,,,,,
kt1_s44,1comp,1,44,5,hmc,2,Delta,kernel_03,10,0.0005,0.8829281330108643,,,,,
kt1_s44,1comp,1,44,5,hmc,2,beta_i,kernel_04,0,0.0,0.913512110710144,,,,,
kt1_s45,1comp,1,45,5,hmc,2,pvec_latent,kernel_00,671,0.03355,0.7646545767784119,,,,,
kt1_s45,1comp,1,45,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,82,0.0041,0.8915237188339233,,,,,
kt1_s45,1comp,1,45,5,hmc,2,mu_k,kernel_02,26,0.0013,0.6230733394622803,,,,,
kt1_s45,1comp,1,45,5,hmc,2,Delta,kernel_03,0,0.0,0.9559826850891112,,,,,
kt1_s45,1comp,1,45,5,hmc,2,beta_i,kernel_04,0,0.0,0.9089919924736024,,,,,
kt1_s46,1comp,1,46,5,hmc,2,pvec_latent,kernel_00,1586,0.0793,0.8346064686775208,,,,,
kt1_s46,1comp,1,46,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,234,0.0117,0.8599430918693542,,,,,
