dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,quantity,rhat,ess
std_s60,standard,1,60,1,hmc,2,Delta:z2:Alt2,1.0011032126684278,2190.3287309131315
std_s60,standard,1,60,1,hmc,2,Delta:z2:Alt3,1.001805435489492,1080.0201495648475
std_s60,standard,1,60,1,hmc,2,Delta:z2:Price,1.000059480619074,3968.577602227397
std_s60,standard,1,60,1,hmc,2,beta[unit0]:Alt1,0.9999825502494792,10064.214487454205
std_s60,standard,1,60,1,hmc,2,beta[unit0]:Alt2,1.000750044403104,3619.2901020874974
std_s60,standard,1,60,1,hmc,2,beta[unit0]:Alt3,1.000155830176321,12368.571714831747
std_s60,standard,1,60,1,hmc,2,beta[unit0]:Price,1.0002298695087566,15486.172594146312
std_s60,standard,1,60,1,hmc,2,beta[unit299]:Alt1,1.000093185600124,9308.211502765878
std_s60,standard,1,60,1,hmc,2,beta[unit299]:Alt2,1.0000817223250538,7942.37185002682
std_s60,standard,1,60,1,hmc,2,beta[unit299]:Alt3,1.0002380853475017,6797.227915043422
std_s60,standard,1,60,1,hmc,2,beta[unit299]:Price,1.0000672366012435,12458.461866182932
std_s61,standard,1,61,1,hmc,2,mu:Alt1,1.0027620994218374,649.1625392432571
std_s61,standard,1,61,1,hmc,2,mu:Alt2,1.0002407021148902,4098.879924493266
std_s61,standard,1,61,1,hmc,2,mu:Alt3,1.0006480675609803,1087.090866070016
std_s61,standard,1,61,1,hmc,2,mu:Price,1.0003260137359784,13274.772750932698
std_s61,standard,1,61,1,hmc,2,"Sigma:Alt1,Alt1",1.0007386239493938,875.6131590152783
std_s61,standard,1,61,1,hmc,2,"Sigma:Alt2,Alt1",1.0041259501420667,264.59521248830947
std_s61,standard,1,61,1,hmc,2,"Sigma:Alt2,Alt2",1.000404066174806,2609.8479885951047
std_s61,standard,1,61,1,hmc,2,"Sigma:Alt3,Alt1",1.0038470985151395,509.9010497233884
std_s61,standard,1,61,1,hmc,2,"Sigma:Alt3,Alt2",1.00088819445743,1733.9877167201005
std_s61,standard,1,61,1,hmc,2,"Sigma:Alt3,Alt3",1.0003478943272563,1648.7667301260956
std_s61,standard,1,61,1,hmc,2,"Sigma:Price,Alt1",1.0020146184268834,1892.307888077338
std_s61,standard,1,61,1,hmc,2,"Sigma:Price,Alt2",1.0001554309795917,7093.037617611286
std_s61,standard,1,61,1,hmc,2,"Sigma:Price,Alt3",1.0003416995534975,5208.495747111052
std_s61,standard,1,61,1,hmc,2,"Sigma:Price,Price",1.0001842702449169,8605.275504509542
std_s61,standard,1,61,1,hmc,2,tr(Sigma),1.000321221889635,1379.9560856910437
std_s61,standard,1,61,1,hmc,2,Delta:z1:Alt1,1.00016358400768,1100.9474208616132
std_s61,standard,1,61,1,hmc,2,Delta:z1:Alt2,1.0001394109664612,5884.714553295037
std_s61,standard,1,61,1,hmc,2,Delta:z1:Alt3,1.000837855241974,1790.008763816002
std_s61,standard,1,61,1,hmc,2,Delta:z1:Price,1.0001202716382291,13008.953150608217
std_s61,standard,1,61,1,hmc,2,Delta:z2:Alt1,1.0015950013749857,1102.6540124469534
std_s61,standard,1,61,1,hmc,2,Delta:z2:Alt2,1.000224888474141,4856.992680122316
std_s61,standard,1,61,1,hmc,2,Delta:z2:Alt3,1.000732208155177,1784.7035044035729
std_s61,standard,1,61,1,hmc,2,Delta:z2:Price,0.9999835352308892,12863.656416980628
std_s61,standard,1,61,1,hmc,2,beta[unit0]:Alt1,1.000004402971869,5815.329836985058
std_s61,standard,1,61,1,hmc,2,beta[unit0]:Alt2,1.0001690519044744,8868.90421127205
std_s61,standard,1,61,1,hmc,2,beta[unit0]:Alt3,1.0000741177017485,9513.689334257131
