dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,grid,param,retained_mass_model,retained_mass_true,Hellinger,KL,JSD,TVD,Wasserstein1
std_s18,standard,1,18,1,bayesm,2,full,Price,0.9999999999971796,0.9999999999999916,0.02168,0.00196,0.00047,0.01959,0.03734
std_s18,standard,1,18,1,bayesm,2,chebyshev,Alt1,0.9999982940735048,0.9999998930074578,0.03047,0.00394,0.00092,0.02726,0.04777
std_s18,standard,1,18,1,bayesm,2,chebyshev,Alt2,0.999998702777075,0.9999999907419852,0.08596,0.03368,0.00726,0.08312,0.21377
std_s18,standard,1,18,1,bayesm,2,chebyshev,Alt3,0.9999998289242776,0.9999994266968562,0.07289,0.01975,0.00527,0.0739,0.13504
std_s18,standard,1,18,1,bayesm,2,chebyshev,Price,0.9999988240621764,0.9999998223291172,0.02167,0.00195,0.00047,0.01959,0.03734
std_s19,standard,1,19,1,bayesm,2,full,Alt1,0.9999999999982392,0.9999999999999932,0.00766,0.00024,6e-05,0.00514,0.01202
std_s19,standard,1,19,1,bayesm,2,full,Alt2,0.9999999999990776,0.9999999999999832,0.0192,0.00145,0.00037,0.01968,0.04406
std_s19,standard,1,19,1,bayesm,2,full,Alt3,0.9999999999974146,1.0,0.05899,0.01535,0.00344,0.05544,0.1004
std_s19,standard,1,19,1,bayesm,2,full,Price,0.9999999999966048,0.9999999999998448,0.03809,0.00579,0.00145,0.04334,0.10675
std_s19,standard,1,19,1,bayesm,2,chebyshev,Alt1,0.9999984501692326,0.9999995923888804,0.00765,0.00024,6e-05,0.00514,0.01202
std_s19,standard,1,19,1,bayesm,2,chebyshev,Alt2,0.9999990542983168,0.9999994266968562,0.0192,0.00145,0.00037,0.01968,0.04406
std_s19,standard,1,19,1,bayesm,2,chebyshev,Alt3,0.999998529486153,0.9999999818372018,0.05898,0.01534,0.00344,0.05544,0.1004
std_s19,standard,1,19,1,bayesm,2,chebyshev,Price,0.9999990642289334,0.9999995384536868,0.03809,0.00579,0.00145,0.04334,0.10675
std_s20,standard,1,20,1,bayesm,2,full,Alt1,0.9999999999979516,0.9999999999999998,0.03494,0.00518,0.00122,0.0329,0.05938
std_s20,standard,1,20,1,bayesm,2,full,Alt2,0.9999999999980694,1.0,0.04605,0.00921,0.0021,0.04228,0.07706
std_s20,standard,1,20,1,bayesm,2,full,Alt3,0.9999999999995988,1.0,0.09661,0.03486,0.00926,0.10481,0.24921
std_s20,standard,1,20,1,bayesm,2,full,Price,0.9999999999978192,0.9999999999999952,0.02788,0.00325,0.00078,0.02624,0.04681
std_s20,standard,1,20,1,bayesm,2,chebyshev,Alt1,0.9999980126647384,0.9999998477415504,0.03494,0.00518,0.00122,0.0329,0.05938
std_s20,standard,1,20,1,bayesm,2,chebyshev,Alt2,0.9999981570546576,0.9999999575707544,0.04604,0.00921,0.0021,0.04228,0.07705
std_s20,standard,1,20,1,bayesm,2,chebyshev,Alt3,0.9999990152796716,0.9999994266968562,0.09661,0.03486,0.00926,0.10481,0.24921
std_s20,standard,1,20,1,bayesm,2,chebyshev,Price,0.9999989025294964,0.9999998471215436,0.02787,0.00325,0.00077,0.02624,0.04681
std_s21,standard,1,21,1,bayesm,2,full,Alt1,0.9999999999980304,0.999999999999994,0.01915,0.00152,0.00037,0.01721,0.04525
std_s21,standard,1,21,1,bayesm,2,full,Alt2,0.999999999999296,0.9999999999999593,0.02261,0.002,0.00051,0.02363,0.03553
std_s21,standard,1,21,1,bayesm,2,full,Alt3,0.9999999999988348,1.0,0.02565,0.0028,0.00065,0.02156,0.04097
std_s21,standard,1,21,1,bayesm,2,full,Price,0.9999999999978504,0.9999999999645924,0.05916,0.0131,0.00348,0.05863,0.10641
std_s21,standard,1,21,1,bayesm,2,chebyshev,Alt1,0.999998739228921,0.9999997773593928,0.01914,0.00152,0.00037,0.01721,0.04524
std_s21,standard,1,21,1,bayesm,2,chebyshev,Alt2,0.9999993783939128,0.9999994266968562,0.02261,0.002,0.00051,0.02363,0.03553
