dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,row,col,post_mean,post_std,ci_low,ci_high,true_value,empirical,abs_diff,in_ci
std_s74,standard,1,74,1,hmc,2,Alt3,Alt3,1.536512851715088,0.1822831183671951,1.2082054764032364,1.9239638328552244,1.671715488704275,1.6261177503084747,0.1352026369891872,True
std_s74,standard,1,74,1,hmc,2,Price,Alt1,0.2161367237567901,0.1287571042776107,-0.0356016588397324,0.4737576954066739,0.0,0.1058787505176455,0.2161367237567901,True
std_s74,standard,1,74,1,hmc,2,Price,Alt2,0.1103950440883636,0.1048038899898529,-0.0921636285260319,0.3186388939619052,0.0,0.0168980874525561,0.1103950440883636,True
std_s74,standard,1,74,1,hmc,2,Price,Alt3,-0.0771382227540016,0.1238008812069892,-0.3243886157870292,0.164168996736407,0.0,-0.042616551722729,0.0771382227540016,True
std_s74,standard,1,74,1,hmc,2,Price,Price,1.888067364692688,0.1850893348455429,1.5543710231781005,2.285021948814392,1.761566600240082,1.9032702502591137,0.1265007644526059,True
std_s75,standard,1,75,1,hmc,2,Alt1,Alt1,1.079218506813049,0.1401522755622863,0.8256919249892235,1.376445937156677,1.129019257954512,1.2872429018983969,0.0498007511414626,True
std_s75,standard,1,75,1,hmc,2,Alt2,Alt1,0.0124258026480674,0.123360127210617,-0.2230080220848322,0.262055692821741,0.0,-0.1967829381050177,0.0124258026480674,True
std_s75,standard,1,75,1,hmc,2,Alt2,Alt2,1.7720237970352173,0.2225111871957779,1.378603431582451,2.2486720800399778,1.5666343422327118,1.715382426642193,0.2053894548025054,True
std_s75,standard,1,75,1,hmc,2,Alt3,Alt1,0.1283890604972839,0.1192941442131996,-0.0969321010634303,0.3692856729030609,0.0,-0.3162610779018338,0.1283890604972839,True
std_s75,standard,1,75,1,hmc,2,Alt3,Alt2,0.0524764023721218,0.1403532773256302,-0.2146986838430166,0.3376505002379409,0.0,0.4177315188187764,0.0524764023721218,True
std_s75,standard,1,75,1,hmc,2,Alt3,Alt3,1.4382578134536743,0.188280776143074,1.0873263746500017,1.8290948122739783,1.4985139614547662,2.460672832275537,0.0602561480010919,True
std_s75,standard,1,75,1,hmc,2,Price,Alt1,-0.0497463271021842,0.0994023978710174,-0.2400426499545574,0.1502888005226847,0.0,0.026943906816507,0.0497463271021842,True
std_s75,standard,1,75,1,hmc,2,Price,Alt2,-0.145294576883316,0.1214667409658432,-0.3877832636237144,0.0885899506509303,0.0,-0.1903551647359773,0.145294576883316,True
std_s75,standard,1,75,1,hmc,2,Price,Alt3,-0.0010319536086171,0.1149734184145927,-0.2270466301590204,0.2213775984942909,0.0,-0.3310860720077513,0.0010319536086171,True
std_s75,standard,1,75,1,hmc,2,Price,Price,1.483404278755188,0.1528802216053009,1.2109594345092771,1.807991981506348,1.5497251421430576,1.887164718122355,0.0663208633878695,True
std_s76,standard,1,76,1,hmc,2,Alt1,Alt1,1.230578899383545,0.1568207591772079,0.9519014477729796,1.5650436431169508,1.1506093613603137,1.964507591589585,0.0799695380232312,True
std_s76,standard,1,76,1,hmc,2,Alt2,Alt1,-0.0625692456960678,0.0854211971163749,-0.2261226329952478,0.1094383958727118,0.0,-1.1631842614852417,0.0625692456960678,True
std_s76,standard,1,76,1,hmc,2,Alt2,Alt2,0.600330650806427,0.0945003405213356,0.4355259127914905,0.8002688884735107,0.5761163201988024,2.2751576737301056,0.0242143306076245,True
std_s76,standard,1,76,1,hmc,2,Alt3,Alt1,-0.0358246564865112,0.1205684468150138,-0.2688542008399963,0.209918401762843,0.0,-0.177890083818036,0.0358246564865112,True
