dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,functional,Rhat,ESS_bulk,ESS_tail,ESS_bulk/s,ESS_tail/s
std_s16,standard,1,16,1,nuts,2,Alt2,mean,1.000069954330019,7963.389929548646,10747.616051762889,12.918563226235984,17.43525793968965
std_s16,standard,1,16,1,nuts,2,Alt2,sd,1.0002385037537769,6343.982952592145,10101.054376900329,10.291489629953354,16.386377004526594
std_s16,standard,1,16,1,nuts,2,Alt2,q05,1.0003020727217908,7151.487454164443,10586.36481874825,11.601459134312806,17.17366906014998
std_s16,standard,1,16,1,nuts,2,Alt2,q50,1.0000699548563428,7963.3877053551105,10747.616051762889,12.918559618050892,17.43525793968965
std_s16,standard,1,16,1,nuts,2,Alt2,q95,1.000128529535427,6359.463039093761,11236.853421524263,10.316602110691823,18.2289204313941
std_s16,standard,1,16,1,nuts,2,Alt3,mean,1.0011462963379565,1619.0027718736212,4434.385120487626,2.6264178769262063,7.193655598344705
std_s16,standard,1,16,1,nuts,2,Alt3,sd,1.004158973212668,861.9023416667285,2135.717311606249,1.3982160856329648,3.464655048596352
std_s16,standard,1,16,1,nuts,2,Alt3,q05,1.003432410997723,893.0651292044932,2418.2864068720423,1.4487697373659512,3.923051128063272
std_s16,standard,1,16,1,nuts,2,Alt3,q50,1.001146287392455,1619.0026137343823,4434.385120487626,2.626417620385741,7.193655598344705
std_s16,standard,1,16,1,nuts,2,Alt3,q95,1.002459053866201,1541.7969486370598,3557.853501540372,2.5011711769982967,5.7717072523082456
std_s16,standard,1,16,1,nuts,2,Price,mean,1.0002243346402928,8681.826932312499,12076.726132611024,14.08404349611878,19.59139907631203
std_s16,standard,1,16,1,nuts,2,Price,sd,1.0002016042902384,7368.033001682942,11385.164313177902,11.952748895548469,18.46951691705125
std_s16,standard,1,16,1,nuts,2,Price,q05,1.00003230692116,12414.130077616308,14686.071953887153,20.13875067342003,23.82439523366344
std_s16,standard,1,16,1,nuts,2,Price,q50,1.0002243299183604,8681.823230598737,12076.726132611024,14.084037491035051,19.59139907631203
std_s16,standard,1,16,1,nuts,2,Price,q95,1.0000479419482111,6210.598028861024,11950.3480525242,10.075106709376612,19.386382967286156
std_s17,standard,1,17,1,nuts,2,Alt1,mean,1.0006901900748728,4466.501120335,9021.354360334211,7.262603447699186,14.668868878592214
std_s17,standard,1,17,1,nuts,2,Alt1,sd,1.0017232140074763,2557.8062731740947,5190.859734890587,4.159034590526983,8.440422333155427
std_s17,standard,1,17,1,nuts,2,Alt1,q05,1.001835533969824,3150.760473440616,6194.152894884961,5.1231877616920585,10.071793325016197
std_s17,standard,1,17,1,nuts,2,Alt1,q50,1.0006901905655077,4466.50276641863,9021.354360334211,7.262606124257935,14.668868878592214
std_s17,standard,1,17,1,nuts,2,Alt1,q95,1.0006106154322123,2742.3787307690586,6464.692744943597,4.459152407754567,10.511695520233491
std_s17,standard,1,17,1,nuts,2,Alt2,mean,1.000106391461996,5627.29741700968,11064.40506012994,9.15007710082875,17.99090253679665
std_s17,standard,1,17,1,nuts,2,Alt2,sd,1.0007323484074957,4068.720692522032,8168.093902968581,6.6158060041008655,13.281453500761922
std_s17,standard,1,17,1,nuts,2,Alt2,q05,1.00038760790834,5483.748357977187,9361.024355029143,8.916663996710874,15.221177813055515
std_s17,standard,1,17,1,nuts,2,Alt2,q50,1.0001063915501296,5627.294700269239,11064.40506012994,9.150072683364616,17.99090253679665
std_s17,standard,1,17,1,nuts,2,Alt2,q95,1.000723008083358,3467.766340872151,8406.846485530039,5.638644456702685,13.669669082162663
std_s17,standard,1,17,1,nuts,2,Alt3,mean,1.000526250384152,4464.254445316977,8424.207734544809,7.25895031758858,13.697898755357413
std_s17,standard,1,17,1,nuts,2,Alt3,sd,1.0008221877115249,3130.4785374197054,6320.582248911281,5.09020900393448,10.277369510424847
std_s17,standard,1,17,1,nuts,2,Alt3,q05,1.000123228795914,6540.7549471023385,11677.297643793723,10.63537389772738,18.987475843567037
std_s17,standard,1,17,1,nuts,2,Alt3,q50,1.0005262516788476,4464.25478931286,8424.207734544809,7.25895087693148,13.697898755357413
std_s17,standard,1,17,1,nuts,2,Alt3,q95,1.0010859806272716,2645.1034615165754,6641.325438911372,4.300981238238334,10.798903152701415
std_s17,standard,1,17,1,nuts,2,Price,mean,0.9999911978524754,10379.177929589256,12780.71297949373,16.876712080632938,20.781647121128017
std_s17,standard,1,17,1,nuts,2,Price,sd,0.9999528347398864,8846.330840431197,10450.122999143554,14.38427778931902,16.99206991730659
std_s17,standard,1,17,1,nuts,2,Price,q05,0.999924234604232,12342.271922819098,14700.75094422111,20.068734833852197,23.903660071904245
std_s17,standard,1,17,1,nuts,2,Price,q50,0.9999912101410052,10379.186379959276,12780.71297949373,16.876725821071993,20.781647121128017
std_s17,standard,1,17,1,nuts,2,Price,q95,1.000118596352662,7836.807968815405,12404.392529338827,12.742777185065698,20.16974395014444
std_s18,standard,1,18,1,nuts,2,Alt1,mean,1.0001841094382804,7269.625654503604,11462.968192033724,12.055763937816922,19.00989749922674
std_s18,standard,1,18,1,nuts,2,Alt1,sd,1.000451606904698,4618.263666938609,8930.023133387327,7.65881205130781,14.809325262665553
std_s18,standard,1,18,1,nuts,2,Alt1,q05,1.0003959627203798,5725.391142798627,9892.983069624192,9.49484434958313,16.4062737473038
std_s18,standard,1,18,1,nuts,2,Alt1,q50,1.000184108213446,7269.625475090898,11462.968192033724,12.055763640283413,19.00989749922674
std_s18,standard,1,18,1,nuts,2,Alt1,q95,1.000208237082835,4745.666228332277,9773.589217152346,7.870093247648883,16.208273991960773
std_s18,standard,1,18,1,nuts,2,Alt2,mean,1.000022441879856,10280.65348436043,12141.632864518766,17.049176590979155,20.135377884774076
std_s18,standard,1,18,1,nuts,2,Alt2,sd,1.0000802324174751,7763.461871798978,11535.537202304771,12.874729472303446,19.130244116591665
std_s18,standard,1,18,1,nuts,2,Alt2,q05,0.9999669199425648,9857.258924481355,13955.736053407443,16.34702972550805,23.143840884589466
std_s18,standard,1,18,1,nuts,2,Alt2,q50,1.000022441456027,10280.649093242186,12141.632864518766,17.049169308859344,20.135377884774076
std_s18,standard,1,18,1,nuts,2,Alt2,q95,1.0001118459199891,7460.388722691252,12023.006056871958,12.37212060147803,19.93865017723376
std_s18,standard,1,18,1,nuts,2,Alt3,mean,1.000253887550545,6229.089823365687,10437.926912886092,10.330165544553378,17.309994880408112
std_s18,standard,1,18,1,nuts,2,Alt3,sd,1.0005768758993066,3127.217392342348,6264.51453115393,5.18609849476343,10.388912986988275
std_s18,standard,1,18,1,nuts,2,Alt3,q05,1.0003577629154163,3833.557658576937,7979.76818680095,6.357475387358104,13.233446412605224
std_s18,standard,1,18,1,nuts,2,Alt3,q50,1.0002538883132424,6229.089977079791,10437.926912886092,10.330165799468974,17.309994880408112
std_s18,standard,1,18,1,nuts,2,Alt3,q95,1.0006263323607285,3424.751750818255,6759.173686777918,5.679521974822976,11.209243261654922
std_s18,standard,1,18,1,nuts,2,Price,mean,1.0001204501682748,13268.425193530038,14132.19927228685,22.004021879817643,23.436483038618327
std_s18,standard,1,18,1,nuts,2,Price,sd,1.000143796364032,9865.57823352485,12981.72210848101,16.36082625791849,21.528560710582106
std_s18,standard,1,18,1,nuts,2,Price,q05,1.0000634109907098,11803.899783500325,15328.293546227183,19.57528985655112,25.42005563221755
std_s18,standard,1,18,1,nuts,2,Price,q50,1.000120450842604,13268.423660002029,14132.19927228685,22.00401933665344,23.436483038618327
std_s18,standard,1,18,1,nuts,2,Price,q95,0.999953494592116,10310.02266215765,14184.476065807185,17.09788169512048,23.523177555235797
std_s19,standard,1,19,1,nuts,2,Alt1,mean,1.000173016314145,8523.987750066095,12382.738318660886,16.250405593598384,23.60685232520091
std_s19,standard,1,19,1,nuts,2,Alt1,sd,1.000224382954736,4627.376307054757,8893.035377666889,8.821779668003883,16.953969912050347
std_s19,standard,1,19,1,nuts,2,Alt1,q05,1.0001515554502942,6346.566422710482,11494.746834617752,12.099299238781564,21.913956675597195
std_s19,standard,1,19,1,nuts,2,Alt1,q50,1.0001730174165446,8523.987211917287,12382.738318660886,16.250404567654112,23.60685232520091
std_s19,standard,1,19,1,nuts,2,Alt1,q95,1.0002826855784608,4918.1583544138575,9120.86352570318,9.37613595610222,17.388308852905748
std_s19,standard,1,19,1,nuts,2,Alt2,mean,1.0002560430846392,7926.4904309070525,12129.359247270922,15.111317403643293,23.1238022787031
std_s19,standard,1,19,1,nuts,2,Alt2,sd,1.0010218685531207,4435.300839894519,8326.426383066768,8.455600792874746,15.873768221807238
std_s19,standard,1,19,1,nuts,2,Alt2,q05,1.0005690094335549,5145.678645412288,9362.651862963476,9.80988798835606,17.849261949448046
std_s19,standard,1,19,1,nuts,2,Alt2,q50,1.0002560421219735,7926.490909155096,12129.359247270922,15.111318315390813,23.1238022787031
std_s19,standard,1,19,1,nuts,2,Alt2,q95,1.0010545567687223,5083.614780521063,9827.871498500816,9.691567431503914,18.73617169043508
std_s19,standard,1,19,1,nuts,2,Alt3,mean,1.0004209286472934,8124.862530214636,11569.780518101965,15.48950038169565,22.05700331357373
std_s19,standard,1,19,1,nuts,2,Alt3,sd,1.0000169918082435,5560.957082762165,10033.810739374208,10.60158821588852,19.12878091160676
std_s19,standard,1,19,1,nuts,2,Alt3,q05,1.0002148352057207,6721.79763103389,11714.483603852785,12.814652135268789,22.332869950533397
std_s19,standard,1,19,1,nuts,2,Alt3,q50,1.000420927189505,8124.8626337921,11569.780518101965,15.489500579159074,22.05700331357373
std_s19,standard,1,19,1,nuts,2,Alt3,q95,1.0000929851163938,5441.527518378583,10597.56543061487,10.373903836463535,20.203541065724007
std_s19,standard,1,19,1,nuts,2,Price,mean,1.0000111275722792,9713.476670018945,13041.289509783152,18.51808569416812,24.862335588864823
std_s19,standard,1,19,1,nuts,2,Price,sd,1.000175019195977,8335.214416145154,12515.778137648647,15.890522011944094,23.860483733649765
std_s19,standard,1,19,1,nuts,2,Price,q05,1.0000431727906058,15555.168013569431,16799.765941414156,29.65487477326693,32.02761646664536
