dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,post_mean,post_std,ci_low,ci_high,true_weight,in_ci
kt5_s21,5comp_equal,5,21,5,nuts,1,3,0.1812880933284759,0.023538963869214,0.1374176166951656,0.2291795384138822,0.2,True
kt5_s21,5comp_equal,5,21,5,nuts,1,4,0.0081243515014648,0.0084895258769392,0.0002448280949465,0.0322406139224767,0.2,False
kt5_s22,5comp_equal,5,22,5,nuts,1,0,0.3641294538974762,0.0315021127462387,0.3042264938354492,0.4269116707146168,0.2,False
kt5_s22,5comp_equal,5,22,5,nuts,1,1,0.2360700666904449,0.0257584806531667,0.1875287257134914,0.2884868584573269,0.2,True
kt5_s22,5comp_equal,5,22,5,nuts,1,2,0.205711230635643,0.0244587995111942,0.1592752877622842,0.2557404801249504,0.2,True
kt5_s22,5comp_equal,5,22,5,nuts,1,3,0.1834620088338852,0.0258409027010202,0.1357099171727895,0.2362066872417926,0.2,True
kt5_s22,5comp_equal,5,22,5,nuts,1,4,0.01062723249197,0.0103166513144969,0.0008792233042186,0.0368607487529516,0.2,False
kt5_s23,5comp_equal,5,23,5,nuts,1,0,0.4196200668811798,0.0307107381522655,0.3606171913444996,0.4807954281568526,0.2,False
kt5_s23,5comp_equal,5,23,5,nuts,1,1,0.2449709922075271,0.0272370558232069,0.1944165416061878,0.3000481255352497,0.2,True
kt5_s23,5comp_equal,5,23,5,nuts,1,2,0.1767531037330627,0.0221823882311582,0.1357899606227874,0.2228686060756445,0.2,True
kt5_s23,5comp_equal,5,23,5,nuts,1,3,0.1502360254526138,0.0214000530540943,0.110566140897572,0.1944159366190433,0.2,False
kt5_s23,5comp_equal,5,23,5,nuts,1,4,0.008419832214713,0.007254559546709,0.0002422610628855,0.0256948528345674,0.2,False
kt5_s24,5comp_equal,5,24,5,nuts,1,0,0.4154393076896667,0.0359063670039176,0.328411865234375,0.4790196701884269,0.2,False
kt5_s24,5comp_equal,5,24,5,nuts,1,1,0.2331544905900955,0.0257918797433376,0.1853073246777057,0.2871979869902133,0.2,True
