dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog,mean_acceptance
kt1_s26,1comp,1,26,5,nuts,1,beta_i,kernel_04,0,0.0,6.0,5.0005,0.0,63.0,31.016,0.8728343844413757
kt1_s27,1comp,1,27,5,nuts,1,pvec_latent,kernel_00,97,0.0097,7.0,3.2742,0.0,71.0,9.6921,0.8806993961334229
kt1_s27,1comp,1,27,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,62,0.0062,6.0,4.7827,0.0,47.0,27.6102,0.8823171854019165
kt1_s27,1comp,1,27,5,nuts,1,mu_k,kernel_02,5816,0.5816,9.0,3.1034,0.0,447.0,15.9367,0.2879032492637634
kt1_s27,1comp,1,27,5,nuts,1,Delta,kernel_03,0,0.0,6.0,3.7867,0.0,55.0,13.5022,0.9077742099761964
kt1_s27,1comp,1,27,5,nuts,1,beta_i,kernel_04,0,0.0,9.0,7.9411,0.0,511.0,247.5248,0.963822066783905
kt1_s28,1comp,1,28,5,nuts,1,pvec_latent,kernel_00,52,0.0052,6.0,3.7291,0.0,63.0,13.4201,0.9596526622772216
kt1_s28,1comp,1,28,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,219,0.0219,6.0,4.6106,0.0,63.0,25.0283,0.8486402630805969
kt1_s28,1comp,1,28,5,nuts,1,mu_k,kernel_02,166,0.0166,10.0,6.6683,0.0081,1023.0,133.8925,0.8727491497993469
kt1_s28,1comp,1,28,5,nuts,1,Delta,kernel_03,0,0.0,5.0,3.1842,0.0,31.0,8.58,0.9269989132881165
kt1_s28,1comp,1,28,5,nuts,1,beta_i,kernel_04,2955,0.2955,10.0,6.5292,0.0018,1023.0,94.4051,0.3420546352863312
kt1_s29,1comp,1,29,5,nuts,1,pvec_latent,kernel_00,8,0.0008,6.0,3.0833,0.0,43.0,8.0173,0.934133768081665
kt1_s29,1comp,1,29,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,296,0.0296,6.0,3.953,0.0,44.0,14.6636,0.8394750952720642
