dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,kind,n_pts,min_ESS,mean_ESS,max_Rhat,mean_Rhat,ESS,Rhat
kt1_s14,1comp,1,14,5,nuts,2,Alt2,density,20.0,8.766965447223743,42.11897256040569,1.166994117094715,1.0949344843081024,,
kt1_s14,1comp,1,14,5,nuts,2,Alt3,density,19.0,6.01436183566394,22.431683800404063,1.2452907082422533,1.1175175298523188,,
kt1_s14,1comp,1,14,5,nuts,2,Price,density,26.0,72.3219386063756,1015.961173835581,1.040274353688653,1.0136483429169267,,
kt1_s14,1comp,1,14,5,nuts,2,Alt1,moment_Mean,,,,,,9.488048857705683,1.1528047966182189
kt1_s14,1comp,1,14,5,nuts,2,Alt1,moment_Var,,,,,,44.61100436898964,1.0373444759228694
kt1_s14,1comp,1,14,5,nuts,2,Alt2,moment_Mean,,,,,,20.007360663352543,1.0789200045862457
kt1_s14,1comp,1,14,5,nuts,2,Alt2,moment_Var,,,,,,50.90576086302738,1.0427505715146543
kt1_s14,1comp,1,14,5,nuts,2,Alt3,moment_Mean,,,,,,10.04936462987623,1.1410441407860394
kt1_s14,1comp,1,14,5,nuts,2,Alt3,moment_Var,,,,,,189.1089182213685,1.007109149362706
kt1_s14,1comp,1,14,5,nuts,2,Price,moment_Mean,,,,,,225.4798239927192,1.0176063165553644
kt1_s14,1comp,1,14,5,nuts,2,Price,moment_Var,,,,,,721.3698436539632,1.0086442338851038
kt1_s15,1comp,1,15,5,nuts,2,Alt1,density,24.0,948.9355581277424,1440.9104395155584,1.002874517172106,1.0014670191538664,,
kt1_s15,1comp,1,15,5,nuts,2,Alt2,density,24.0,807.5482725078521,1217.4404741503656,1.008079922292188,1.003709920557051,,
kt1_s15,1comp,1,15,5,nuts,2,Alt3,density,23.0,847.9293045470151,1232.404446223805,1.0028519076394533,1.001761801599134,,
kt1_s15,1comp,1,15,5,nuts,2,Price,density,25.0,1127.9998342448505,2439.7264168759134,1.006427900288078,1.0023750687943909,,
kt1_s15,1comp,1,15,5,nuts,2,Alt1,moment_Mean,,,,,,3540.5367616810568,1.0049134954535293
kt1_s15,1comp,1,15,5,nuts,2,Alt1,moment_Var,,,,,,1241.7539058357518,1.0009428117779515
kt1_s15,1comp,1,15,5,nuts,2,Alt2,moment_Mean,,,,,,1941.145516080143,1.007535544366754
kt1_s15,1comp,1,15,5,nuts,2,Alt2,moment_Var,,,,,,1305.5777849445572,1.0012862056906269
kt1_s15,1comp,1,15,5,nuts,2,Alt3,moment_Mean,,,,,,1184.292274580465,1.0097661619373697
kt1_s15,1comp,1,15,5,nuts,2,Alt3,moment_Var,,,,,,2822.992203906392,1.0013645079417055
kt1_s15,1comp,1,15,5,nuts,2,Price,moment_Mean,,,,,,45.414702910362415,1.0338804058549866
kt1_s15,1comp,1,15,5,nuts,2,Price,moment_Var,,,,,,334.2051783551359,1.014004984426377
kt1_s16,1comp,1,16,5,nuts,2,Alt1,density,23.0,5.7845217638842295,47.93930120179349,1.2560141623961514,1.0999419752873665,,
kt1_s16,1comp,1,16,5,nuts,2,Alt2,density,25.0,5.958595647493867,66.83983344838248,1.2908315055426096,1.0861714045309576,,
kt1_s16,1comp,1,16,5,nuts,2,Alt3,density,23.0,12.58824465832964,257.6996071741857,1.1058573901149749,1.0510464853663872,,
kt1_s16,1comp,1,16,5,nuts,2,Price,density,24.0,11.99560742859266,400.42262733544703,1.1251949769037983,1.041915299645769,,
kt1_s16,1comp,1,16,5,nuts,2,Alt1,moment_Mean,,,,,,14.572657074424416,1.1376784638013293
kt1_s16,1comp,1,16,5,nuts,2,Alt1,moment_Var,,,,,,4.374876175795297,1.382126527722408
kt1_s16,1comp,1,16,5,nuts,2,Alt2,moment_Mean,,,,,,6.697383467620875,1.216509044046879
kt1_s16,1comp,1,16,5,nuts,2,Alt2,moment_Var,,,,,,15.979161724096883,1.1154992125478886
kt1_s16,1comp,1,16,5,nuts,2,Alt3,moment_Mean,,,,,,9.696457169604804,1.1319010675917254
kt1_s16,1comp,1,16,5,nuts,2,Alt3,moment_Var,,,,,,4.554361668909988,1.378493809568514
kt1_s16,1comp,1,16,5,nuts,2,Price,moment_Mean,,,,,,35.42521738918282,1.0502272783818043
kt1_s16,1comp,1,16,5,nuts,2,Price,moment_Var,,,,,,6.041670517471895,1.2663511509745096
kt1_s17,1comp,1,17,5,nuts,2,Alt1,density,25.0,650.9750919600143,1428.7709081515943,1.0085950020878711,1.004651792594626,,
kt1_s17,1comp,1,17,5,nuts,2,Alt2,density,23.0,441.2808220613376,693.8416599164699,1.0063916098783057,1.0030742546889069,,
kt1_s17,1comp,1,17,5,nuts,2,Alt3,density,24.0,624.392876288436,936.3003523265804,1.0059731109564125,1.0027937549611805,,
kt1_s17,1comp,1,17,5,nuts,2,Price,density,25.0,731.1416527211827,999.2021510043684,1.010205289694329,1.0052190550946407,,
kt1_s17,1comp,1,17,5,nuts,2,Alt1,moment_Mean,,,,,,20.066670209175893,1.066362538460013
kt1_s17,1comp,1,17,5,nuts,2,Alt1,moment_Var,,,,,,48.5817841485903,1.0291486696422083
kt1_s17,1comp,1,17,5,nuts,2,Alt2,moment_Mean,,,,,,24.50278727749021,1.0590350871541918
kt1_s17,1comp,1,17,5,nuts,2,Alt2,moment_Var,,,,,,249.0120562100821,1.016908515181978
kt1_s17,1comp,1,17,5,nuts,2,Alt3,moment_Mean,,,,,,213.15850653060056,1.0120171188135283
