dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,matched_true,live,param,post_mean,post_std,ci_low,ci_high,true_value,abs_diff,in_ci
kt3_s48,3comp_equal,3,48,5,nuts,2,0,1.0,True,Alt1,4.624050617218018,1.089645266532898,3.276331275701523,6.134060966968536,3.7023276555466302,0.9217229616713872,True
kt3_s48,3comp_equal,3,48,5,nuts,2,0,1.0,True,Alt2,-1.2138550281524658,0.9091107845306396,-2.4694229900836944,-0.0276621072087438,-0.3541373548444058,0.85971767330806,True
kt3_s48,3comp_equal,3,48,5,nuts,2,0,1.0,True,Alt3,-1.4865460395812988,0.6849084496498108,-2.585929799079895,-0.5684794217348099,-2.1054421187883103,0.6188960792070115,True
kt3_s48,3comp_equal,3,48,5,nuts,2,0,1.0,True,Price,-2.745600938796997,0.9086207747459412,-3.977058213949204,-1.663207185268402,-1.9043842481042184,0.8412166906927787,True
kt3_s48,3comp_equal,3,48,5,nuts,2,1,2.0,True,Alt1,5.002478122711182,0.4992840588092804,4.09444807767868,6.072965598106384,4.495655172394808,0.5068229503163737,True
kt3_s48,3comp_equal,3,48,5,nuts,2,1,2.0,True,Alt2,1.2942970991134644,0.485063761472702,0.3771635346114635,2.3060531795024857,1.6330556802127176,0.3387585810992533,True
kt3_s48,3comp_equal,3,48,5,nuts,2,1,2.0,True,Alt3,15.125359535217283,0.9602519869804382,13.388831233978271,17.130685186386106,13.97565989918686,1.1496996360304248,True
kt3_s48,3comp_equal,3,48,5,nuts,2,1,2.0,True,Price,4.543761730194092,0.3446509540081024,3.897380441427231,5.2473670601844775,4.244767484358691,0.2989942458354004,True
kt3_s48,3comp_equal,3,48,5,nuts,2,2,0.0,True,Alt1,6.184936046600342,39.18403244018555,-70.14585380554199,82.9993345260615,9.457492330792563,3.2725562841922238,True
kt3_s48,3comp_equal,3,48,5,nuts,2,2,0.0,True,Alt2,-3.6543030738830566,34.53233337402344,-60.368986988067626,56.14039258956903,-5.124628115046231,1.470325041163174,True
kt3_s48,3comp_equal,3,48,5,nuts,2,2,0.0,True,Alt3,0.4196306765079498,23.46649169921875,-44.47870235443115,46.02402534484843,0.5785774264353796,0.1589467499274297,True
kt3_s48,3comp_equal,3,48,5,nuts,2,2,0.0,True,Price,-3.6446168422698975,17.53339958190918,-35.9572585105896,35.634899997711166,-6.990978692854505,3.346361850584607,True
