comparison,metric,k_true,param,n_datasets,n_win,n_loss,n_tie,win_rate,median_diff,p_value
nuts_vs_hmc,TVD,3,Alt1,100,61,39,0,0.61,-0.002735,0.03520020021770486
nuts_vs_hmc,TVD,3,Alt2,100,49,51,0,0.49,0.00077,0.9204107626128216
nuts_vs_hmc,TVD,3,Alt3,100,52,48,0,0.52,-0.000485,0.7643534344026676
nuts_vs_hmc,TVD,3,Price,100,55,45,0,0.55,-0.002375,0.3682016173266958
nuts_vs_hmc,TVD,5,Alt1,100,48,52,0,0.48,0.00152,0.7643534344026676
nuts_vs_hmc,TVD,5,Alt2,100,49,51,0,0.49,7.5e-05,0.9204107626128216
nuts_vs_hmc,TVD,5,Alt3,100,46,54,0,0.46,0.00136,0.48411841360729146
nuts_vs_hmc,TVD,5,Price,100,61,39,0,0.61,-0.004325,0.03520020021770486
nuts_vs_bayesm,Wasserstein1,1,Alt1,100,46,54,0,0.46,0.002955,0.48411841360729146
nuts_vs_bayesm,Wasserstein1,1,Alt2,100,39,61,0,0.39,0.007665,0.03520020021770486
nuts_vs_bayesm,Wasserstein1,1,Alt3,100,46,54,0,0.46,0.000695,0.48411841360729146
nuts_vs_bayesm,Wasserstein1,1,Price,100,48,52,0,0.48,0.00061,0.7643534344026676
nuts_vs_bayesm,Wasserstein1,2,Alt1,100,20,80,0,0.2,0.03674,1.1159089057251951e-09
nuts_vs_bayesm,Wasserstein1,2,Alt2,100,32,68,0,0.32,0.023665,0.00040877716742681523
nuts_vs_bayesm,Wasserstein1,2,Alt3,100,34,66,0,0.34,0.008565,0.0017899303914868528
nuts_vs_bayesm,Wasserstein1,2,Price,100,42,58,0,0.42,0.008225,0.13321061920721358
nuts_vs_bayesm,Wasserstein1,3,Alt1,100,6,94,0,0.06,0.098515,2.005959521923613e-21
nuts_vs_bayesm,Wasserstein1,3,Alt2,100,15,85,0,0.15,0.076025,4.825421503937195e-13
nuts_vs_bayesm,Wasserstein1,3,Alt3,100,32,68,0,0.32,0.03106,0.00040877716742681523
nuts_vs_bayesm,Wasserstein1,3,Price,100,21,79,0,0.21,0.036035,4.3373666334216375e-09
nuts_vs_bayesm,Wasserstein1,5,Alt1,100,7,93,0,0.07,0.17058,2.726143732806038e-20
nuts_vs_bayesm,Wasserstein1,5,Alt2,100,11,89,0,0.11,0.107745,2.540853335492305e-16
nuts_vs_bayesm,Wasserstein1,5,Alt3,100,15,85,0,0.15,0.07677,4.825421503937195e-13
nuts_vs_bayesm,Wasserstein1,5,Price,100,15,85,0,0.15,0.050895,4.825421503937195e-13
hmc_vs_bayesm,Wasserstein1,1,Alt1,100,47,53,0,0.47,0.00142,0.6172994135892524
hmc_vs_bayesm,Wasserstein1,1,Alt2,100,44,56,0,0.44,0.003325,0.2712530240738349
hmc_vs_bayesm,Wasserstein1,1,Alt3,100,51,49,0,0.51,-0.00045,0.9204107626128216
hmc_vs_bayesm,Wasserstein1,1,Price,100,58,42,0,0.58,-0.00342,0.13321061920721358
hmc_vs_bayesm,Wasserstein1,2,Alt1,100,22,78,0,0.22,0.038005,1.5905328473786136e-08
hmc_vs_bayesm,Wasserstein1,2,Alt2,100,28,72,0,0.28,0.032125,1.2579150016678854e-05
hmc_vs_bayesm,Wasserstein1,2,Alt3,100,34,66,0,0.34,0.016595,0.0017899303914868528
hmc_vs_bayesm,Wasserstein1,2,Price,100,28,72,0,0.28,0.028385,1.2579150016678854e-05
hmc_vs_bayesm,Wasserstein1,3,Alt1,100,8,92,0,0.08,0.155705,3.208563668244003e-19
hmc_vs_bayesm,Wasserstein1,3,Alt2,100,13,87,0,0.13,0.05431,1.312981552203585e-14
hmc_vs_bayesm,Wasserstein1,3,Alt3,100,28,72,0,0.28,0.03699,1.2579150016678854e-05
hmc_vs_bayesm,Wasserstein1,3,Price,100,26,74,0,0.26,0.04744,1.6673626494501009e-06
hmc_vs_bayesm,Wasserstein1,5,Alt1,100,12,88,0,0.12,0.167355,1.9113575360277063e-15
hmc_vs_bayesm,Wasserstein1,5,Alt2,100,13,87,0,0.13,0.09505,1.312981552203585e-14
hmc_vs_bayesm,Wasserstein1,5,Alt3,100,18,82,0,0.18,0.093995,6.147806615047975e-11
hmc_vs_bayesm,Wasserstein1,5,Price,100,15,85,0,0.15,0.056085,4.825421503937195e-13
nuts_vs_hmc,Wasserstein1,1,Alt1,100,48,52,0,0.48,5.5e-05,0.7643534344026676
nuts_vs_hmc,Wasserstein1,1,Alt2,100,49,51,0,0.49,0.00013,0.9204107626128216
nuts_vs_hmc,Wasserstein1,1,Alt3,100,43,56,1,0.4343,0.001615,0.22762615711004686
nuts_vs_hmc,Wasserstein1,1,Price,100,41,59,0,0.41,0.003275,0.08862608011406765
nuts_vs_hmc,Wasserstein1,2,Alt1,100,57,43,0,0.57,-0.0078,0.19334790449564213
nuts_vs_hmc,Wasserstein1,2,Alt2,100,48,52,0,0.48,0.002025,0.7643534344026676
nuts_vs_hmc,Wasserstein1,2,Alt3,100,52,48,0,0.52,-0.005555,0.7643534344026676
nuts_vs_hmc,Wasserstein1,2,Price,100,58,41,1,0.5859,-0.016605,0.10735158653318887
nuts_vs_hmc,Wasserstein1,3,Alt1,100,53,47,0,0.53,-0.002965,0.6172994135892524
nuts_vs_hmc,Wasserstein1,3,Alt2,100,46,54,0,0.46,0.00658,0.48411841360729146
nuts_vs_hmc,Wasserstein1,3,Alt3,100,53,47,0,0.53,-0.003385,0.6172994135892524
nuts_vs_hmc,Wasserstein1,3,Price,100,51,49,0,0.51,-0.000695,0.9204107626128216
nuts_vs_hmc,Wasserstein1,5,Alt1,100,43,57,0,0.43,0.02951,0.19334790449564213
nuts_vs_hmc,Wasserstein1,5,Alt2,100,46,54,0,0.46,0.005905,0.48411841360729146
nuts_vs_hmc,Wasserstein1,5,Alt3,100,50,50,0,0.5,3e-05,1.0
nuts_vs_hmc,Wasserstein1,5,Price,100,51,49,0,0.51,-0.0026,0.9204107626128216
